title	maxNodes	timesteps	depthCategory	sizeVarianceCategory	sizeChangeCategory	dataChangeCategory
gh-react-native-m	2754	47	4+ levels	High variance	Low size change	Spiky data change
gh-routersploit-m	435	27	4+ levels	High variance	Low size change	Spiky data change
gh-RxBinding-m	257	32	4+ levels	High variance	Low size change	Spiky data change
gh-scrapy-m	370	126	4+ levels	High variance	Low size change	Spiky data change
gh-slate-m	23	55	4+ levels	High variance	Low size change	Spiky data change
gh-spectacle-m	123	38	4+ levels	High variance	Low size change	Spiky data change
gh-StatusBarUtil-m	48	15	4+ levels	High variance	Low size change	Spiky data change
gh-SwipeDelMenuLayout-m	35	9	4+ levels	High variance	Low size change	Spiky data change
gh-Swiper-m	159	73	4+ levels	High variance	Low size change	Spiky data change
gh-syncthing-m	2292	47	4+ levels	High variance	Low size change	Spiky data change
gh-tidb-m	1489	37	4+ levels	High variance	Low size change	Spiky data change
gh-TypeScript-m	9095	59	4+ levels	High variance	Low size change	Spiky data change
gh-uBlock-m	146	50	4+ levels	High variance	Low size change	Spiky data change
gh-vim-plug-m	4	52	4+ levels	High variance	Low size change	Spiky data change
gh-vscode-m	393	55	4+ levels	High variance	Low size change	Spiky data change
gh-webpack-m	1897	82	4+ levels	High variance	Low size change	Spiky data change
gh-xxl-job-m	251	32	4+ levels	High variance	Low size change	Spiky data change
GithubAudioKit	700	22	4+ levels	High variance	Low size change	Spiky data change
GitHubBrackets	1793	88	4+ levels	High variance	Low size change	Spiky data change
GitHubCaffe	433	44	4+ levels	High variance	Low size change	Spiky data change
GitHubCpython	3026	321	4+ levels	High variance	Low size change	Spiky data change
GitHubExo	640	97	4+ levels	High variance	Low size change	Spiky data change
GitHubFsharp	613	69	4+ levels	High variance	Low size change	Spiky data change
GitHubGimp	3330	72	4+ levels	High variance	Low size change	Spiky data change
GitHubHospitalrun-frontend	767	38	4+ levels	High variance	Low size change	Spiky data change
GitHubIina	118	74	4+ levels	High variance	Low size change	Spiky data change
GitHubJenkins	2751	137	4+ levels	High variance	Low size change	Spiky data change
GitHubLeaflet	233	84	4+ levels	High variance	Low size change	Spiky data change
GitHubOptiKey	362	36	4+ levels	High variance	Low size change	Spiky data change
GitHubOsquery	552	37	4+ levels	High variance	Low size change	Spiky data change
GitHubPybuilder	135	53	4+ levels	High variance	Low size change	Spiky data change
GitHubSoundnode-app	123	35	4+ levels	High variance	Low size change	Spiky data change
gh-ant-design-m	248	39	4+ levels	High variance	Regular size change	Spiky data change
gh-jupyterlab-m	170	33	4+ levels	High variance	Regular size change	Spiky data change
gh-keras-m	178	41	4+ levels	High variance	Regular size change	Spiky data change
gh-lerna-m	218	31	4+ levels	High variance	Regular size change	Spiky data change
gh-material2-m	643	31	4+ levels	High variance	Regular size change	Spiky data change
gh-tikv-m	284	33	4+ levels	High variance	Regular size change	Spiky data change
tmbd-monthly-mean-genres-00stonow	5336	188	4+ levels	High variance	Regular size change	Spiky data change
tmbd-monthly-mean-genres-2krand	791	230	4+ levels	High variance	Regular size change	Spiky data change
tmbd-monthly-mean-genres-4plusgenres	1363	230	4+ levels	High variance	Regular size change	Spiky data change
tmbd-monthly-mean-genres-60sto80s	2507	230	4+ levels	High variance	Regular size change	Spiky data change
tmbd-monthly-mean-genres-90s	2559	231	4+ levels	High variance	Regular size change	Spiky data change
tmbd-monthly-mean-genres-action	1767	230	4+ levels	High variance	Regular size change	Spiky data change
tmbd-monthly-mean-genres-documentaries	574	229	4+ levels	High variance	Regular size change	Spiky data change
tmbd-yearly-mean-genres-00stonow	7660	17	4+ levels	High variance	Regular size change	Spiky data change
tmbd-yearly-mean-genres-60sto80s	4044	21	4+ levels	High variance	Regular size change	Spiky data change
tmbd-yearly-mean-genres-90s	3400	21	4+ levels	High variance	Regular size change	Spiky data change
tmbd-yearly-mean-genres-documentaries	1236	20	4+ levels	High variance	Regular size change	Spiky data change
tmbd-yearly-std-genres-00stonow	5755	17	4+ levels	High variance	Regular size change	Spiky data change
tmbd-yearly-std-genres-90s	2926	21	4+ levels	High variance	Regular size change	Spiky data change
tmbd-yearly-count-genres-children	741	20	4+ levels	High variance	Spiky size change	Regular data change
atp-matches-top20players-rank	367	44	4+ levels	High variance	Spiky size change	Spiky data change
gh-AndroidNetworking-m	169	25	4+ levels	High variance	Spiky size change	Spiky data change
gh-angular-m	901	51	4+ levels	High variance	Spiky size change	Spiky data change
gh-apollo-m	797	29	4+ levels	High variance	Spiky size change	Spiky data change
gh-awesome-kotlin-m	26	28	4+ levels	High variance	Spiky size change	Spiky data change
gh-axios-m	91	47	4+ levels	High variance	Spiky size change	Spiky data change
gh-better-scroll-m	107	26	4+ levels	High variance	Spiky size change	Spiky data change
gh-DCGAN-tensorflow-m	16	28	4+ levels	High variance	Spiky size change	Spiky data change
gh-discord.js-m	185	38	4+ levels	High variance	Spiky size change	Spiky data change
gh-echo-m	103	41	4+ levels	High variance	Spiky size change	Spiky data change
gh-enzyme-m	46	67	4+ levels	High variance	Spiky size change	Spiky data change
gh-examples-m	34	24	4+ levels	High variance	Spiky size change	Spiky data change
gh-express-m	164	96	4+ levels	High variance	Spiky size change	Spiky data change
gh-flatpickr-m	128	37	4+ levels	High variance	Spiky size change	Spiky data change
gh-git-m	1781	175	4+ levels	High variance	Spiky size change	Spiky data change
gh-Google-Play-Music-Desktop-Player-UNOFFICIAL--m	221	36	4+ levels	High variance	Spiky size change	Spiky data change
gh-hugo-m	536	61	4+ levels	High variance	Spiky size change	Spiky data change
gh-ItChat-m	31	21	4+ levels	High variance	Spiky size change	Spiky data change
gh-JFoenix-m	210	45	4+ levels	High variance	Spiky size change	Spiky data change
gh-laravel-admin-m	727	32	4+ levels	High variance	Spiky size change	Spiky data change
gh-laravel-m	339	94	4+ levels	High variance	Spiky size change	Spiky data change
gh-lottie-web-m	142	41	4+ levels	High variance	Spiky size change	Spiky data change
gh-MailHog-m	152	22	4+ levels	High variance	Spiky size change	Spiky data change
gh-metabase-m	1009	42	4+ levels	High variance	Spiky size change	Spiky data change
gh-mxnet-m	1601	50	4+ levels	High variance	Spiky size change	Spiky data change
gh-nativefier-m	76	33	4+ levels	High variance	Spiky size change	Spiky data change
gh-nuklear-m	114	40	4+ levels	High variance	Spiky size change	Spiky data change
gh-postgrest-m	60	51	4+ levels	High variance	Spiky size change	Spiky data change
gh-pouchdb-m	519	90	4+ levels	High variance	Spiky size change	Spiky data change
gh-primeng-m	316	33	4+ levels	High variance	Spiky size change	Spiky data change
gh-react-autosuggest-m	68	30	4+ levels	High variance	Spiky size change	Spiky data change
gh-react-native-web-m	452	36	4+ levels	High variance	Spiky size change	Spiky data change
gh-react-router-m	196	51	4+ levels	High variance	Spiky size change	Spiky data change
gh-redux-saga-m	179	35	4+ levels	High variance	Spiky size change	Spiky data change
gh-ReSwift-m	28	29	4+ levels	High variance	Spiky size change	Spiky data change
gh-reveal.js-m	77	77	4+ levels	High variance	Spiky size change	Spiky data change
gh-RxPermissions-m	14	24	4+ levels	High variance	Spiky size change	Spiky data change
gh-Semantic-UI-m	545	63	4+ levels	High variance	Spiky size change	Spiky data change
gh-SwipeRecyclerView-m	94	10	4+ levels	High variance	Spiky size change	Spiky data change
gh-TakePhoto-m	58	17	4+ levels	High variance	Spiky size change	Spiky data change
gh-traefik-m	4189	36	4+ levels	High variance	Spiky size change	Spiky data change
gh-v2ray-core-m	403	35	4+ levels	High variance	Spiky size change	Spiky data change
gh-victory-m	112	39	4+ levels	High variance	Spiky size change	Spiky data change
GitHubBdb	75	62	4+ levels	High variance	Spiky size change	Spiky data change
GitHubBeets	176	106	4+ levels	High variance	Spiky size change	Spiky data change
GitHubCalcuta	81	50	4+ levels	High variance	Spiky size change	Spiky data change
GitHubEarthdata-search	624	46	4+ levels	High variance	Spiky size change	Spiky data change
GitHubEmcee	36	64	4+ levels	High variance	Spiky size change	Spiky data change
GitHubHystrix	446	61	4+ levels	High variance	Spiky size change	Spiky data change
GitHubPhysicsJS	128	20	4+ levels	High variance	Spiky size change	Spiky data change
GitHubScikitlearn	754	88	4+ levels	High variance	Spiky size change	Spiky data change
GitHubSpacemacs	363	51	4+ levels	High variance	Spiky size change	Spiky data change
MoviesH22Y7M	46	34	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-genres-00stonow	5336	188	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-genres-2krand	791	230	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-genres-4plusgenres	1363	230	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-genres-60sto80s	2507	230	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-genres-90s	2559	231	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-genres-action	1767	230	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-genres-children	617	230	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-genres-documentaries	574	229	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-genres-00stonow	3328	188	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-genres-2krand	459	230	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-genres-4plusgenres	1026	230	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-genres-60sto80s	2059	230	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-genres-90s	2139	231	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-genres-action	1228	230	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-genres-children	415	230	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-genres-documentaries	223	229	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-genres-00stonow	7660	17	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-genres-2krand	1204	20	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-genres-4plusgenres	1682	20	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-genres-60sto80s	4044	21	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-genres-90s	3400	21	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-genres-action	2408	20	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-genres-documentaries	1236	20	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-std-genres-60sto80s	3295	21	4+ levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-std-genres-documentaries	737	20	4+ levels	High variance	Spiky size change	Spiky data change
gh-AndroidNote-m	3	17	4+ levels	Low variance	Low size change	Low data change
MoviesHC9Y7M	46	14	4+ levels	Low variance	Low size change	Low data change
gh-swift-algorithm-club-m	8	32	4+ levels	Low variance	Low size change	Spiky data change
tmbd-yearly-mean-genres-children	741	20	4+ levels	Low variance	Regular size change	Regular data change
tmbd-yearly-std-genres-children	666	20	4+ levels	Low variance	Regular size change	Regular data change
tmbd-monthly-mean-genres-children	617	230	4+ levels	Low variance	Regular size change	Spiky data change
tmbd-yearly-mean-genres-2krand	1204	20	4+ levels	Low variance	Regular size change	Spiky data change
tmbd-yearly-mean-genres-4plusgenres	1682	20	4+ levels	Low variance	Regular size change	Spiky data change
tmbd-yearly-mean-genres-action	2408	20	4+ levels	Low variance	Regular size change	Spiky data change
tmbd-yearly-std-genres-2krand	919	20	4+ levels	Low variance	Regular size change	Spiky data change
tmbd-yearly-std-genres-4plusgenres	1430	20	4+ levels	Low variance	Regular size change	Spiky data change
tmbd-yearly-std-genres-action	1952	20	4+ levels	Low variance	Regular size change	Spiky data change
atp-matches-allplayers-height	2045	44	4+ levels	Low variance	Spiky size change	Spiky data change
MoviesHC10Y2M	1032	59	Single level	High variance	Low size change	Low data change
wb-AG.LND.AGRI.K2.dataflat	210	55	Single level	High variance	Low size change	Low data change
wb-AG.LND.ARBL.HA.dataflat	208	55	Single level	High variance	Low size change	Low data change
wb-AG.LND.ARBL.HA.PC.dataflat	208	55	Single level	High variance	Low size change	Low data change
wb-AG.LND.ARBL.ZS.dataflat	208	55	Single level	High variance	Low size change	Low data change
wb-AG.LND.CREL.HA.dataflat	179	56	Single level	High variance	Low size change	Low data change
wb-AG.LND.CROP.ZS.dataflat	197	55	Single level	High variance	Low size change	Low data change
wb-AG.LND.FRST.K2.dataflat	207	26	Single level	High variance	Low size change	Low data change
wb-AG.LND.TOTL.K2.dataflat	216	57	Single level	High variance	Low size change	Low data change
wb-AG.SRF.TOTL.K2.dataflat	217	57	Single level	High variance	Low size change	Low data change
wb-EN.ATM.CO2E.KT.dataflat	206	55	Single level	High variance	Low size change	Low data change
wb-EN.ATM.CO2E.LF.KT.dataflat	205	55	Single level	High variance	Low size change	Low data change
wb-EN.POP.DNST.dataflat	216	57	Single level	High variance	Low size change	Low data change
wb-EN.URB.LCTY.dataflat	151	58	Single level	High variance	Low size change	Low data change
wb-EN.URB.MCTY.dataflat	115	58	Single level	High variance	Low size change	Low data change
wb-ER.H2O.INTR.K3.dataflat	181	12	Single level	High variance	Low size change	Low data change
wb-ER.H2O.INTR.PC.dataflat	181	12	Single level	High variance	Low size change	Low data change
wb-FM.AST.DOMS.CN.dataflat	179	58	Single level	High variance	Low size change	Low data change
wb-FM.LBL.BMNY.CN.dataflat	163	58	Single level	High variance	Low size change	Low data change
wb-FP.CPI.TOTL.dataflat	186	58	Single level	High variance	Low size change	Low data change
wb-IP.JRN.ARTC.SC.dataflat	196	14	Single level	High variance	Low size change	Low data change
wb-NE.CON.GOVT.KD.dataflat	174	58	Single level	High variance	Low size change	Low data change
wb-NE.CON.GOVT.KN.dataflat	161	58	Single level	High variance	Low size change	Low data change
wb-NE.CON.PRVT.PP.CD.dataflat	177	28	Single level	High variance	Low size change	Low data change
wb-NE.CON.PRVT.PP.KD.dataflat	177	28	Single level	High variance	Low size change	Low data change
wb-NE.EXP.GNFS.KD.dataflat	190	58	Single level	High variance	Low size change	Low data change
wb-NV.SRV.EMPL.KD.dataflat	155	27	Single level	High variance	Low size change	Low data change
wb-NY.ADJ.DCO2.CD.dataflat	211	47	Single level	High variance	Low size change	Low data change
wb-NY.ADJ.DPEM.GN.ZS.dataflat	174	27	Single level	High variance	Low size change	Low data change
wb-NY.GDP.MKTP.KD.dataflat	203	58	Single level	High variance	Low size change	Low data change
wb-NY.GDP.MKTP.KN.dataflat	203	58	Single level	High variance	Low size change	Low data change
wb-NY.GDP.MKTP.PP.CD.dataflat	195	28	Single level	High variance	Low size change	Low data change
wb-NY.GDP.MKTP.PP.KD.dataflat	195	28	Single level	High variance	Low size change	Low data change
wb-NY.GDP.PCAP.KD.dataflat	203	58	Single level	High variance	Low size change	Low data change
wb-NY.GDP.PCAP.KN.dataflat	203	58	Single level	High variance	Low size change	Low data change
wb-NY.GDP.PCAP.PP.CD.dataflat	195	28	Single level	High variance	Low size change	Low data change
wb-NY.GDP.PCAP.PP.KD.dataflat	195	28	Single level	High variance	Low size change	Low data change
wb-NY.GDY.TOTL.KN.dataflat	166	58	Single level	High variance	Low size change	Low data change
wb-NY.GNP.ATLS.CD.dataflat	195	56	Single level	High variance	Low size change	Low data change
wb-NY.GNP.MKTP.PP.CD.dataflat	190	28	Single level	High variance	Low size change	Low data change
wb-NY.GNP.PCAP.CD.dataflat	195	56	Single level	High variance	Low size change	Low data change
wb-NY.GNP.PCAP.PP.CD.dataflat	190	28	Single level	High variance	Low size change	Low data change
wb-SH.DTH.IMRT.dataflat	193	57	Single level	High variance	Low size change	Low data change
wb-SH.DTH.MORT.dataflat	193	57	Single level	High variance	Low size change	Low data change
wb-SH.DYN.AIDS.ZS.dataflat	132	27	Single level	High variance	Low size change	Low data change
wb-SH.HIV.0014.dataflat	103	27	Single level	High variance	Low size change	Low data change
wb-SH.MMR.DTHS.dataflat	182	26	Single level	High variance	Low size change	Low data change
wb-SH.MMR.RISK.dataflat	183	26	Single level	High variance	Low size change	Low data change
wb-SH.MMR.RISK.ZS.dataflat	183	26	Single level	High variance	Low size change	Low data change
wb-SH.STA.MMRT.dataflat	183	26	Single level	High variance	Low size change	Low data change
wb-SH.STA.ODFC.RU.ZS.dataflat	127	16	Single level	High variance	Low size change	Low data change
wb-SH.STA.ODFC.UR.ZS.dataflat	125	16	Single level	High variance	Low size change	Low data change
wb-SH.STA.ODFC.ZS.dataflat	148	16	Single level	High variance	Low size change	Low data change
wb-SH.XPD.CHEX.PP.CD.dataflat	188	16	Single level	High variance	Low size change	Low data change
wb-SL.GDP.PCAP.EM.KD.dataflat	184	27	Single level	High variance	Low size change	Low data change
wb-SL.TLF.TOTL.IN.dataflat	187	28	Single level	High variance	Low size change	Low data change
wb-SP.POP.0014.FE.IN.dataflat	194	58	Single level	High variance	Low size change	Low data change
wb-SP.POP.0014.MA.IN.dataflat	194	58	Single level	High variance	Low size change	Low data change
wb-SP.POP.0014.TO.dataflat	194	58	Single level	High variance	Low size change	Low data change
wb-SP.POP.1564.FE.IN.dataflat	194	58	Single level	High variance	Low size change	Low data change
wb-SP.POP.1564.MA.IN.dataflat	194	58	Single level	High variance	Low size change	Low data change
wb-SP.POP.1564.TO.dataflat	194	58	Single level	High variance	Low size change	Low data change
wb-SP.POP.65UP.FE.IN.dataflat	194	58	Single level	High variance	Low size change	Low data change
wb-SP.POP.65UP.MA.IN.dataflat	194	58	Single level	High variance	Low size change	Low data change
wb-SP.POP.65UP.TO.dataflat	194	58	Single level	High variance	Low size change	Low data change
wb-SP.POP.TOTL.dataflat	217	58	Single level	High variance	Low size change	Low data change
wb-SP.POP.TOTL.FE.IN.dataflat	194	58	Single level	High variance	Low size change	Low data change
wb-SP.POP.TOTL.MA.IN.dataflat	194	58	Single level	High variance	Low size change	Low data change
wb-SP.RUR.TOTL.dataflat	208	58	Single level	High variance	Low size change	Low data change
wb-SP.URB.TOTL.dataflat	215	58	Single level	High variance	Low size change	Low data change
wb-IS.RRS.PASG.KM.dataflat	88	37	Single level	High variance	Low size change	Regular data change
wb-IS.RRS.TOTL.KM.dataflat	95	37	Single level	High variance	Low size change	Regular data change
wb-AG.AGR.TRAC.NO.dataflat	158	49	Single level	High variance	Low size change	Spiky data change
wb-AG.LND.TRAC.ZS.dataflat	157	49	Single level	High variance	Low size change	Spiky data change
wb-BX.GSR.ROYL.CD.dataflat	119	58	Single level	High variance	Low size change	Spiky data change
wb-BX.GSR.TOTL.CD.dataflat	185	58	Single level	High variance	Low size change	Spiky data change
wb-EG.USE.CRNW.ZS.dataflat	134	56	Single level	High variance	Low size change	Spiky data change
wb-EG.USE.ELEC.KH.PC.dataflat	141	55	Single level	High variance	Low size change	Spiky data change
wb-EG.USE.PCAP.KG.OE.dataflat	171	56	Single level	High variance	Low size change	Spiky data change
wb-EN.ATM.METH.AG.KT.CE.dataflat	197	40	Single level	High variance	Low size change	Spiky data change
wb-EN.ATM.METH.EG.KT.CE.dataflat	195	40	Single level	High variance	Low size change	Spiky data change
wb-FB.CBK.BRCH.P5.dataflat	186	16	Single level	High variance	Low size change	Spiky data change
wb-IT.MLT.MAIN.dataflat	210	45	Single level	High variance	Low size change	Spiky data change
wb-IT.MLT.MAIN.P2.dataflat	210	45	Single level	High variance	Low size change	Spiky data change
wb-NE.CON.PRVT.KD.dataflat	178	58	Single level	High variance	Low size change	Spiky data change
wb-NE.CON.PRVT.KN.dataflat	165	58	Single level	High variance	Low size change	Spiky data change
wb-NE.CON.PRVT.PC.KD.dataflat	178	58	Single level	High variance	Low size change	Spiky data change
wb-NE.CON.TOTL.KD.dataflat	174	58	Single level	High variance	Low size change	Spiky data change
wb-NE.CON.TOTL.KN.dataflat	163	58	Single level	High variance	Low size change	Spiky data change
wb-NE.DAB.TOTL.KD.dataflat	174	58	Single level	High variance	Low size change	Spiky data change
wb-NE.DAB.TOTL.KN.dataflat	159	58	Single level	High variance	Low size change	Spiky data change
wb-NE.GDI.FTOT.KD.dataflat	170	58	Single level	High variance	Low size change	Spiky data change
wb-NV.AGR.TOTL.KD.dataflat	187	58	Single level	High variance	Low size change	Spiky data change
wb-NV.AGR.TOTL.KN.dataflat	184	58	Single level	High variance	Low size change	Spiky data change
wb-NV.IND.MANF.KD.dataflat	181	58	Single level	High variance	Low size change	Spiky data change
wb-NV.IND.MANF.KN.dataflat	177	58	Single level	High variance	Low size change	Spiky data change
wb-NV.IND.TOTL.KD.dataflat	189	58	Single level	High variance	Low size change	Spiky data change
wb-NV.SRV.TOTL.KD.dataflat	164	58	Single level	High variance	Low size change	Spiky data change
wb-NY.ADJ.NNTY.KD.dataflat	172	47	Single level	High variance	Low size change	Spiky data change
wb-NY.ADJ.NNTY.PC.KD.dataflat	172	47	Single level	High variance	Low size change	Spiky data change
wb-NY.GDP.FCST.KD.dataflat	172	58	Single level	High variance	Low size change	Spiky data change
wb-NY.GDP.FCST.KN.dataflat	169	58	Single level	High variance	Low size change	Spiky data change
wb-NY.GNP.MKTP.KD.dataflat	193	58	Single level	High variance	Low size change	Spiky data change
wb-NY.GNP.MKTP.KN.dataflat	158	58	Single level	High variance	Low size change	Spiky data change
wb-NY.GNP.MKTP.PP.KD.dataflat	190	28	Single level	High variance	Low size change	Spiky data change
wb-NY.GNP.PCAP.KD.dataflat	193	58	Single level	High variance	Low size change	Spiky data change
wb-NY.GNP.PCAP.KN.dataflat	158	58	Single level	High variance	Low size change	Spiky data change
wb-NY.GNP.PCAP.PP.KD.dataflat	190	28	Single level	High variance	Low size change	Spiky data change
wb-SE.COM.DURS.dataflat	192	23	Single level	High variance	Low size change	Spiky data change
wb-SE.PRM.ENRL.dataflat	180	48	Single level	High variance	Low size change	Spiky data change
wb-SE.PRM.TCHR.dataflat	152	48	Single level	High variance	Low size change	Spiky data change
wb-SE.SEC.ENRL.dataflat	156	48	Single level	High variance	Low size change	Spiky data change
wb-SE.SEC.ENRL.GC.dataflat	166	48	Single level	High variance	Low size change	Spiky data change
wb-SE.SEC.ENRL.LO.TC.ZS.dataflat	94	37	Single level	High variance	Low size change	Spiky data change
wb-SE.SEC.NENR.dataflat	121	48	Single level	High variance	Low size change	Spiky data change
wb-SE.SEC.NENR.FE.dataflat	116	48	Single level	High variance	Low size change	Spiky data change
wb-SE.SEC.NENR.MA.dataflat	116	48	Single level	High variance	Low size change	Spiky data change
wb-SE.SEC.PRIV.ZS.dataflat	136	20	Single level	High variance	Low size change	Spiky data change
wb-SE.SEC.TCHR.dataflat	118	48	Single level	High variance	Low size change	Spiky data change
wb-SE.SEC.TCHR.FE.dataflat	114	48	Single level	High variance	Low size change	Spiky data change
wb-SE.XPD.CPRM.ZS.dataflat	98	21	Single level	High variance	Low size change	Spiky data change
wb-SE.XPD.CSEC.ZS.dataflat	101	21	Single level	High variance	Low size change	Spiky data change
wb-SE.XPD.CTER.ZS.dataflat	92	21	Single level	High variance	Low size change	Spiky data change
wb-SE.XPD.CTOT.ZS.dataflat	95	21	Single level	High variance	Low size change	Spiky data change
wb-SH.DTH.NMRT.dataflat	193	57	Single level	High variance	Low size change	Spiky data change
wb-SH.MED.BEDS.ZS.dataflat	148	55	Single level	High variance	Low size change	Spiky data change
wb-SH.MED.PHYS.ZS.dataflat	152	57	Single level	High variance	Low size change	Spiky data change
wb-SH.STA.BRTC.ZS.dataflat	139	34	Single level	High variance	Low size change	Spiky data change
wb-SI.DST.02ND.20.dataflat	83	38	Single level	High variance	Low size change	Spiky data change
wb-SI.DST.03RD.20.dataflat	83	38	Single level	High variance	Low size change	Spiky data change
wb-SI.DST.04TH.20.dataflat	83	38	Single level	High variance	Low size change	Spiky data change
wb-SI.DST.05TH.20.dataflat	83	38	Single level	High variance	Low size change	Spiky data change
wb-SI.DST.10TH.10.dataflat	83	38	Single level	High variance	Low size change	Spiky data change
wb-SI.POV.GINI.dataflat	83	38	Single level	High variance	Low size change	Spiky data change
wb-SL.EMP.1524.SP.FE.NE.ZS.dataflat	109	58	Single level	High variance	Low size change	Spiky data change
wb-SL.EMP.1524.SP.MA.NE.ZS.dataflat	109	58	Single level	High variance	Low size change	Spiky data change
wb-SL.EMP.1524.SP.NE.ZS.dataflat	111	58	Single level	High variance	Low size change	Spiky data change
wb-SL.EMP.TOTL.SP.FE.NE.ZS.dataflat	125	58	Single level	High variance	Low size change	Spiky data change
wb-SL.EMP.TOTL.SP.MA.NE.ZS.dataflat	125	58	Single level	High variance	Low size change	Spiky data change
wb-SL.EMP.TOTL.SP.NE.ZS.dataflat	135	58	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.ACTI.1524.FE.NE.ZS.dataflat	109	58	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.ACTI.1524.MA.NE.ZS.dataflat	109	58	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.ACTI.1524.NE.ZS.dataflat	111	58	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.ADVN.FE.ZS.dataflat	90	28	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.ADVN.MA.ZS.dataflat	90	28	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.ADVN.ZS.dataflat	90	28	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.BASC.FE.ZS.dataflat	90	28	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.BASC.MA.ZS.dataflat	90	28	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.BASC.ZS.dataflat	90	28	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.CACT.FE.NE.ZS.dataflat	129	58	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.CACT.FM.NE.ZS.dataflat	129	58	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.CACT.MA.NE.ZS.dataflat	129	58	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.CACT.NE.ZS.dataflat	138	58	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.INTM.FE.ZS.dataflat	89	28	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.INTM.MA.ZS.dataflat	89	28	Single level	High variance	Low size change	Spiky data change
wb-SL.TLF.INTM.ZS.dataflat	89	28	Single level	High variance	Low size change	Spiky data change
wb-SP.DYN.CONM.ZS.dataflat	66	55	Single level	High variance	Low size change	Spiky data change
wb-SP.DYN.CONU.ZS.dataflat	77	55	Single level	High variance	Low size change	Spiky data change
wb-TM.TAX.MRCH.BR.ZS.dataflat	145	22	Single level	High variance	Low size change	Spiky data change
wb-AG.PRD.CREL.MT.dataflat	179	56	Single level	High variance	Regular size change	Low data change
wb-DC.ODA.TOTL.CD.dataflat	31	57	Single level	High variance	Regular size change	Low data change
wb-DC.ODA.TOTL.KD.dataflat	31	57	Single level	High variance	Regular size change	Low data change
wb-DT.CUR.MULC.ZS.dataflat	111	47	Single level	High variance	Regular size change	Low data change
wb-DT.CUR.OTHC.ZS.dataflat	123	47	Single level	High variance	Regular size change	Low data change
wb-DT.CUR.UKPS.ZS.dataflat	90	47	Single level	High variance	Regular size change	Low data change
wb-DT.DOD.ALLC.CD.dataflat	122	47	Single level	High variance	Regular size change	Low data change
wb-DT.DOD.BLAT.CD.dataflat	122	47	Single level	High variance	Regular size change	Low data change
wb-DT.DOD.BLTC.CD.dataflat	122	47	Single level	High variance	Regular size change	Low data change
wb-DT.DOD.DECT.CD.dataflat	123	47	Single level	High variance	Regular size change	Low data change
wb-DT.DOD.DECT.GN.ZS.dataflat	120	47	Single level	High variance	Regular size change	Low data change
wb-DT.DOD.DLXF.CD.dataflat	123	47	Single level	High variance	Regular size change	Low data change
wb-DT.DOD.DPNG.CD.dataflat	81	47	Single level	High variance	Regular size change	Low data change
wb-DT.DOD.DPPG.CD.dataflat	124	47	Single level	High variance	Regular size change	Low data change
wb-DT.DOD.MIBR.CD.dataflat	79	47	Single level	High variance	Regular size change	Low data change
